EV Logger Parsed Log
Generated: Tue Mar  4 18:47:07 2014
Frequency: 1kHz
ADC0, ADC1, ADC2, ADC3, ADC4, ADC5, ADC6, ACCELX, ACCELY, ACCELZ

757, 1573, 1763, 2062, 1960, 1975, 0, 8, 254, 64
757, 1577, 1783, 2131, 2180, 1971, 0, 8, 254, 64
757, 1577, 1783, 2131, 2180, 1971, 0, 8, 254, 64
764, 1589, 1835, 1985, 2108, 2100, 0, 6, 254, 68
764, 1589, 1835, 1985, 2108, 2100, 0, 6, 254, 68
769, 1272, 1851, 2007, 2175, 2326, 0, 4, 0, 68
769, 1272, 1851, 2007, 2175, 2326, 0, 4, 0, 68
761, 1534, 1996, 2114, 2179, 2050, 0, 4, 0, 68
761, 1534, 1996, 2114, 2179, 2050, 0, 6, 0, 66
769, 1259, 1866, 2064, 1986, 2086, 0, 6, 0, 66
769, 1259, 1866, 2064, 1986, 2086, 0, 6, 0, 71
755, 1519, 1962, 2006, 2131, 2205, 0, 6, 0, 71
755, 1519, 1962, 2006, 2131, 2205, 0, 6, 0, 71
759, 1571, 1799, 1823, 1928, 1911, 0, 6, 1, 69
759, 1571, 1799, 1823, 1928, 1911, 0, 5, 1, 69
752, 1552, 1685, 1767, 2048, 1885, 0, 4, 1, 65
752, 1552, 1685, 1767, 2048, 1885, 0, 4, 1, 65
750, 1550, 1667, 1709, 1900, 2098, 0, 4, 1, 65
750, 1550, 1667, 1709, 1900, 2098, 0, 5, 255, 64
753, 1562, 1706, 1826, 1901, 2158, 0, 5, 255, 64
753, 1562, 1706, 1826, 1901, 2158, 0, 6, 0, 67
759, 1584, 1795, 1778, 2081, 2060, 0, 6, 0, 67
759, 1584, 1795, 1778, 2081, 2060, 0, 6, 0, 67
765, 1599, 1871, 2033, 2231, 2173, 0, 5, 2, 69
765, 1599, 1871, 2033, 2231, 2173, 0, 5, 2, 69
769, 1275, 1887, 2126, 2222, 2158, 0, 6, 255, 65
769, 1275, 1887, 2126, 2222, 2158, 0, 6, 255, 65
767, 1554, 1736, 2015, 2239, 2246, 0, 7, 255, 65
767, 1554, 1736, 2015, 2239, 2246, 0, 58, 58, 58
766, 1587, 1814, 1877, 2125, 2216, 0, 7, 255, 63
766, 1587, 1814, 1877, 2125, 2216, 0, 6, 2, 67
761, 1588, 1819, 1867, 2079, 2063, 0, 6, 2, 67
761, 1588, 1819, 1867, 2079, 2063, 0, 6, 2, 67
756, 1567, 1758, 2015, 2179, 1991, 0, 6, 1, 68
756, 1567, 1758, 2015, 2179, 1991, 0, 5, 1, 68
750, 1553, 1696, 1845, 2002, 2109, 0, 6, 255, 66
750, 1553, 1696, 1845, 2002, 2109, 0, 6, 255, 66
749, 1549, 1662, 2035, 2224, 2143, 0, 6, 255, 66
749, 1549, 1662, 2035, 2224, 2143, 0, 7, 0, 64
753, 1562, 1712, 1912, 2203, 2083, 0, 7, 0, 64
753, 1562, 1712, 1912, 2203, 2083, 0, 7, 0, 64
758, 1574, 1758, 2034, 2255, 2246, 0, 7, 0, 65
758, 1574, 1758, 2034, 2255, 2246, 0, 7, 0, 65
764, 1589, 1829, 1937, 1968, 2059, 0, 8, 255, 66
764, 1589, 1829, 1937, 1968, 2059, 0, 8, 255, 66
769, 1272, 1850, 1980, 2050, 1936, 0, 6, 255, 66
769, 1272, 1850, 1980, 2050, 1936, 0, 6, 255, 68
761, 1535, 2005, 2140, 2216, 2089, 0, 6, 255, 68
761, 1535, 2005, 2140, 2216, 2089, 0, 5, 255, 70
770, 1262, 1873, 2099, 2133, 2204, 0, 5, 255, 70
770, 1262, 1873, 2099, 2133, 2204, 0, 7, 0, 70
755, 1519, 1964, 2018, 2195, 2075, 0, 7, 0, 65
755, 1519, 1964, 2018, 2195, 2075, 0, 7, 0, 65
760, 1564, 1764, 2056, 1962, 2004, 0, 6, 0, 63
760, 1564, 1764, 2056, 1962, 2004, 0, 6, 0, 63
752, 1550, 1681, 1798, 1797, 1809, 0, 6, 0, 63
752, 1550, 1681, 1798, 1797, 1809, 0, 6, 0, 67
749, 1548, 1647, 1995, 2063, 1926, 0, 6, 0, 67
749, 1548, 1647, 1995, 2063, 1926, 0, 7, 0, 69
753, 1562, 1711, 1913, 2180, 1952, 0, 7, 0, 69
753, 1562, 1711, 1913, 2180, 1952, 0, 7, 0, 69
758, 1575, 1768, 2060, 1983, 2055, 0, 7, 0, 65
758, 1575, 1768, 2060, 1983, 2055, 0, 7, 0, 65
763, 1597, 1857, 2031, 2211, 2104, 0, 6, 255, 65
763, 1597, 1857, 2031, 2211, 2104, 0, 6, 255, 65
769, 1274, 1870, 2075, 2053, 1949, 0, 6, 255, 65
769, 1274, 1870, 2075, 2053, 1949, 0, 6, 0, 67
762, 1535, 2006, 2154, 2259, 2238, 0, 6, 0, 67
762, 1535, 2006, 2154, 2259, 2238, 0, 7, 0, 67
770, 1261, 1871, 2103, 2159, 2309, 0, 7, 0, 67
770, 1261, 1871, 2103, 2159, 2309, 0, 7, 0, 67
756, 1510, 1933, 1916, 2205, 2128, 0, 7, 255, 66
756, 1510, 1933, 1916, 2205, 2128, 0, 7, 255, 66
761, 1571, 1791, 2116, 2171, 2315, 0, 7, 255, 65
761, 1571, 1791, 2116, 2171, 2315, 0, 7, 255, 65
752, 1551, 1700, 1875, 2105, 2161, 0, 7, 255, 65
752, 1551, 1700, 1875, 2105, 2161, 0, 7, 0, 65
749, 1549, 1661, 2042, 2247, 2237, 0, 7, 0, 65
749, 1549, 1661, 2042, 2247, 2237, 0, 7, 0, 66
752, 1553, 1681, 1809, 1898, 2170, 0, 7, 0, 66
752, 1553, 1681, 1809, 1898, 2170, 0, 6, 0, 66
757, 1571, 1743, 1970, 2008, 2175, 0, 6, 0, 65
757, 1571, 1743, 1970, 2008, 2175, 0, 6, 0, 65
762, 1588, 1818, 1884, 2091, 2101, 0, 6, 0, 66
762, 1588, 1818, 1884, 2091, 2101, 0, 6, 0, 66
768, 1263, 1840, 1944, 1951, 1989, 0, 6, 0, 66
768, 1263, 1840, 1944, 1951, 1989, 0, 6, 1, 67
763, 1541, 1676, 1762, 2045, 2239, 0, 6, 1, 67
763, 1541, 1676, 1762, 2045, 2239, 0, 6, 0, 67
769, 1257, 1792, 1756, 2055, 1991, 0, 6, 0, 67
769, 1257, 1792, 1756, 2055, 1991, 0, 6, 0, 67
756, 1512, 1919, 2145, 2235, 2170, 0, 6, 0, 66
756, 1512, 1919, 2145, 2235, 2170, 0, 6, 0, 66
762, 1574, 1808, 1872, 2100, 2107, 0, 6, 0, 66
762, 1574, 1808, 1872, 2100, 2107, 0, 6, 0, 66
752, 1551, 1691, 1805, 1855, 2028, 0, 6, 0, 66
752, 1551, 1691, 1805, 1855, 2028, 0, 6, 255, 67
749, 1550, 1665, 1695, 1817, 1887, 0, 6, 255, 67
749, 1550, 1665, 1695, 1817, 1887, 0, 6, 255, 66
752, 1553, 1674, 1711, 1866, 2020, 0, 6, 255, 66
752, 1553, 1674, 1711, 1866, 2020, 0, 6, 255, 66
757, 1572, 1744, 1952, 1938, 1920, 0, 7, 255, 66
757, 1572, 1744, 1952, 1938, 1920, 0, 7, 255, 66
761, 1588, 1818, 1877, 2062, 1944, 0, 7, 255, 66
761, 1588, 1818, 1877, 2062, 1944, 0, 7, 255, 66
768, 1262, 1833, 1924, 1879, 2075, 0, 7, 255, 66
768, 1262, 1833, 1924, 1879, 2075, 0, 7, 255, 66
762, 1535, 2000, 2104, 2083, 2058, 0, 7, 255, 66
762, 1535, 2000, 2104, 2083, 2058, 0, 7, 255, 66
770, 1261, 1871, 2089, 2064, 1973, 0, 7, 255, 66
770, 1261, 1871, 2089, 2064, 1973, 0, 7, 255, 66
756, 1510, 1935, 1926, 1878, 2068, 0, 6, 0, 66
756, 1510, 1935, 1926, 1878, 2068, 0, 6, 0, 66
762, 1572, 1786, 2097, 2056, 1948, 0, 6, 0, 67
